condition,condition_label,n,seeds,overall_precision_mean,overall_precision_std,overall_recall_mean,overall_recall_std,overall_mAP50_mean,overall_mAP50_std,overall_mAP50-95_mean,overall_mAP50-95_std,broken_precision_mean,broken_precision_std,broken_recall_mean,broken_recall_std,broken_mAP50_mean,broken_mAP50_std,broken_mAP50-95_mean,broken_mAP50-95_std
without_mpcd,Without 749 external images,3,"[42, 2026, 3407]",0.915233357620243,0.003477993159914428,0.8721949298951034,0.0033934491336604328,0.9063805959228161,0.0013378886013469197,0.7446046622361997,0.0019865035293422165,0.7808138338915498,0.04290786366538589,0.4037574137064848,0.028366933140547085,0.4976928495032699,0.005707771102045343,0.21935576777353374,0.01250884967811171
with_mpcd,With 749 external images,3,"[42, 2026, 3407]",0.907281923346212,0.004619760105635698,0.8812925967397015,0.0024656128343454524,0.9121977897002302,0.00187618869420232,0.7474074742900266,0.0016075543031589374,0.6702569893897049,0.014054316142612234,0.5050753894294924,0.015345196388875682,0.5619990658234311,0.015157838980674902,0.24428933189088967,0.007207330979468731
