experiment,display_name,class_id,class_name,n,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50-95_mean,mAP50-95_std
yolo26,YOLO26-L,1,Damper - Stockbridge,3,0.9158913718864904,0.02021517593255968,0.9163282207941762,0.0049212648761963835,0.9566250106604888,0.0005546695019475947,0.7444377165926682,0.00577644121007966
yolo26,YOLO26-L,2,Glass Insulator,3,0.8861968198755066,0.02424353646472816,0.8493281780528804,0.003776960150943455,0.9160012514693111,0.008571113665654969,0.7551646880660289,0.008251144950042956
yolo26,YOLO26-L,3,Lightning Rod Suspension,3,0.9573205938435663,0.011426138756512348,0.8902320421165735,0.016803498831992888,0.9063739855109452,0.00660368201175139,0.6802611366849052,0.008415426790783814
yolo26,YOLO26-L,4,Polymer Insulator,3,0.9211773939683062,0.015338129960513062,0.9181286549707602,0.009130114032746162,0.9331983785501092,0.0010953004021228131,0.8398797803619947,0.007038223009962757
yolo26,YOLO26-L,5,Polymer Insulator Shackle,3,0.8673155424343233,0.032432758879787894,0.8660712427279872,0.0158468946016315,0.9107675450402851,0.009994631087920237,0.6441601494968625,0.01128421587157334
yolo26,YOLO26-L,6,Vari-Grip,3,0.9181187118659224,0.016832156296513735,0.9415456311590451,0.02410840447884303,0.9542511271902276,0.011849744051386097,0.7288404574177295,0.01602418772134421
yolo26,YOLO26-L,7,Yoke,3,0.9034955252252447,0.01965500078345551,0.8803351819798418,0.019345465178832948,0.9294121218548954,0.001811185838309356,0.7167260880127362,0.0035776444114665063
yolo26,YOLO26-L,8,Bird Nest,3,0.9849555938617836,0.0038147792026831827,0.9798304412501317,0.004439107032808043,0.993669604130376,0.00023601120488664975,0.879650280147976,0.04934643426766479
yolo26,YOLO26-L,9,Plastic Bag,3,0.8719012632823985,0.025146845003071232,0.8415827207032158,0.014070670233082654,0.911343029319401,0.006144147289565076,0.7764475193668439,0.022155675553497144
yolo26,YOLO26-L,10,Fluttering Object,3,0.9316415883425897,0.007607262210517729,0.927710843373494,0.0060240963855421326,0.9653338255961336,0.002326457684665598,0.7632203989487518,0.06704094459313067
yolo26,YOLO26-L,11,Balloon,3,0.8622788365633768,0.015968123760821535,0.8410810942239586,0.01209907452731693,0.9034601809476158,0.002518501342485593,0.7014184051735365,0.023722442314475272
yolo26,YOLO26-L,12,Broken Power Lines,3,0.7072287372956457,0.04748022559835258,0.5168188907851925,0.01816503862424348,0.5817248883367727,0.02282211779476317,0.23632108970449442,0.028189148442144984
yolo26,YOLO26-L,13,Broken Insulator,3,0.9852624635710198,0.007249405707053076,0.9802867383512545,0.011191752685301778,0.9940364320457218,0.0008078587486431975,0.8470578454806302,0.015492339393377673
yolov8,YOLOv8-L,0,Damper - Spiral,3,0.9097676032629077,0.015930805401221,0.8178294573643411,0.00888096064913924,0.8430736634572549,0.0076048004355934755,0.6854907769300378,0.008770357995781713
yolov8,YOLOv8-L,1,Damper - Stockbridge,3,0.9313318766401836,0.006955324212453102,0.9315634040041294,0.0055263152560601665,0.9601963778663447,0.0077272738179391745,0.7602504627358206,0.0019417676438048782
yolov8,YOLOv8-L,2,Glass Insulator,3,0.8679025060105244,0.007936634965062835,0.9134078344030957,0.010226811234089053,0.9263664854641777,0.005693540556655368,0.7416062663509214,0.00868872216017709
