seed,overall_precision_gain,overall_recall_gain,overall_mAP50_gain,overall_mAP50-95_gain,broken_precision_gain,broken_recall_gain,broken_mAP50_gain,broken_mAP50-95_gain
42,-0.014408418903355313,0.014341842381426773,0.007367776145002947,0.003785726938926648,-0.14354319601316257,0.134020618556701,0.08302893177379617,0.04702249198748337
2026,-0.005730732598142496,0.005101815324773162,0.002923611042402907,0.0007470184522615497,-0.08841982877885701,0.06707827434446306,0.04983439474339746,0.009680024683674987
3407,-0.003715151320595189,0.007849342827594419,0.007160194144836707,0.0038756907702924837,-0.09970750871351508,0.10285503426785841,0.06005532244328976,0.018098175680909434
