experiment,description,seed,top1_accuracy,top5_accuracy,macro_f1,instance_R@1,instance_R@5,label_R@1,label_R@5,proto_label_R@1,proto_label_R@5
pretrained,pretrained Chinese-CLIP without domain fine-tuning,42,0.16264763779527558,0.5634842519685039,0.1742273117075777,0.00024606299212598425,0.0017224409448818897,0.28112696850393704,0.3501476377952756,0.375,0.375
vision_only,fine-tune vision encoder and visual projection,42,0.9808070866141733,0.9955708661417323,0.969612728649766,0.0022145669291338582,0.009350393700787402,0.9586614173228347,0.9904035433070866,1.0,1.0
text_only,fine-tune text encoder and text projection,42,0.9315944881889764,0.9960629921259843,0.9107280778456244,0.0015994094488188976,0.00984251968503937,0.9660433070866141,0.9660433070866141,1.0,1.0
single_template,fine-tune both towers with one training template,42,0.9820374015748031,0.9963090551181102,0.9690568255062081,0.0014763779527559055,0.008981299212598425,0.8607283464566928,0.9910187007874016,0.875,1.0
full,fine-tune both towers with six training templates,42,0.9812992125984252,0.9948326771653543,0.9701552463143135,0.0015994094488188976,0.008858267716535433,0.9906496062992126,0.9906496062992126,1.0,1.0
